"Paper ID","Manual Analysis","SZZ improved","TTV first part","TTV second part","Versioned","Repro data/env","Repro package"
414,"N","N","Y","N","Y","Y","N"
415,"N","N","Y","N","Y","Y","N"
416,"Y","Y","N","N","N","Y","N"
417,"Y","N","Y","N","N","Y","N"
424,"N","N","N","N","N","N","N"
425,"N","N","N","N","Y","Y","N"
426,"N","N","N","N","Y","Y","N"
428,"N","N","Y","Y","N","Y","N"
433,"Y","N","Y","N","Y","N","Y"
435,"Y","Y","N","N","Y","N","N"
440,"Y","N","N","N","Y","N","Y"
442,"Y","Y","N","Y","Y","N","N"
444,"Y","N","N","N","N","N","Y"
445,"Y","N","N","N","N","N","Y"
447,"N","N","N","N","Y","N","N"
452,"Y","Y","N","N","N","Y","N"
471,"N","N","Y","N","N","Y","Y"
472,"Y","N","N","N","Y","N","N"
478,"N","N","Y","N","Y","N","N"
481,"Y","N","N","N","Y","N","N"
483,"Y","N","Y","N","Y","Y","N"
486,"N","Y","Y","N","N","Y","N"
489,"Y","N","Y","Y","Y","Y","N"
